asn_name,country,asn_num,count
"ETPI-IDS-AS-AP Eastern Telecoms Phils., Inc.",PH,9658,20
INVITECH,HU,12301,19
"ANCHGLOBAL-AS-AP Anchnet Asia Limited",HK,137443,19
"COGECO-PEER1 - Cogeco Peer 1",CA,13768,19
Telgua,GT,14754,19
"VEETIME-TW-AP VEE TIME CORP.",TW,17809,19
"CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd",CN,24445,19
STC-AS,RU,25490,19
"Media Commerce Partners S.A",CO,27951,19
TELLCOM-AS,TR,34984,19
PR-TELECOM-AS,HU,35311,19
"CNNIC-SIN-AP Shanghai Information Network Co.,Ltd.",CN,45061,19
EKAT-AS,RU,51604,19
"ZAM LTDA.",CL,52368,19
"HOYOS-CONSULTING-LLC - Hoyos Consulting LLC",US,53597,19
"STARHUBINTERNET-AS-NGNBN Starhub Internet Pte Ltd",SG,55430,19
"BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital",CN,55960,19
"RTD Bucharest, Romania",RO,9050,19
"KPN This macro reflects our filtering-policy on",EU,1136,18
EUSKALTEL,ES,12338,18
INEA-AS,PL,13110,18
"BEAMTELE-AS-AP ACTFIBERNET Pvt Ltd",IN,131269,18
"CHINANET-SICHUAN-CHENGDU-MAN CHINANET Sichuan province Chengdu MAN network",CN,134765,18
"LTG-AS-AP LinkChina Telecom Global Limited.",HK,135386,18
KSNET-AS,UA,15895,18
"LGTELECOM-AS-KR LGTELECOM",KR,17853,18
"ASN-MCS-AP # AS-MCS-AP CONVERTED TO ASN-MCS-AP FOR RPSL COMPLIANCE The first E-commerce and TriplePlay Service ISP in Mongolia.",MN,17882,18
SIM-NETWORKS,DE,200081,18
"ALLIANCE-GATEWAY-AS-AP Alliance Broadband Services Pvt. Ltd.",IN,23860,18
UBN-AS,RU,24955,18
"COMPLETE-COMPUTERS - Complete Computers",US,29902,18
ERTH-TMN-AS,RU,41682,18
ORCL-LON-OPC1,GB,43894,18
"VOLUMEDRIVE - VolumeDrive",US,46664,18
TMOBILE-THUIS,NL,50266,18
"NASHIRNET-ASN NASHIRNET ASN",SA,51975,18
AS5413,GB,5413,18
BOSCOM-AS,RU,5514,18
PLUSSERVER-ASN1,DE,61157,18
"wds telecom e tecnologia da informacao",BR,61913,18
"TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.",TH,7470,18
TISCALI-,IT,8612,18
"ASN-VO Visual Online S.A. Luxembourg",LU,9008,18
"TTNET-MY TIME dotCom Berhad",MY,9930,18
"Telefonica de Argentina",AR,10834,17
"Galicia - Spain",ES,12334,17
"APOLLO-AS Latvia",LV,12578,17
"YTL-HK Yunify Technologies (HK) Limited",HK,134366,17
AS137702,CN,137702,17
"WLINK-NEPAL-AS-AP WorldLink Communications Pvt Ltd",NP,17501,17
"IN2CABLE-AP AS Number of In2cable.com (India) Ltd.",IN,17665,17
GRUPPOWITEL_SRL,IT,203540,17
LABITAT,DK,205235,17
"INET-AS-ID PT. Inet Global Indo",ID,24532,17
IS,ZA,3741,17
LLARIK-AS,SK,39456,17
"GET-NO GET Norway",NO,41164,17
ASEUHOST,FI,51765,17
"CLOUDIE-AS-AP Cloudie Limited",HK,55933,17
BCUBE-AS,GB,56478,17
"UNNES-AS-ID Universitas Negeri Semarang",ID,58400,17
AS65299,Unknown,65299,17
"MNET-AS Germany",DE,8767,17
"Instituto Costarricense de Electricidad y Telecom.",CR,11830,16
"RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI",IN,18101,16
ARUBAFR-AS,FR,199653,16
ZT-LPT-AS,RU,201250,16
"SKYBB-AS-AP SKYBroadband SKYCable Corporation",PH,23944,16
"silva souza comercio e serviço de informatica ltda",BR,264985,16
"Tim Celular S.A.",BR,26615,16
VOSTOK-UA,UA,3326,16
"NG-AS Sos. Bucuresti - Ploiesti nr. 42-44",RO,48161,16
SECARMA,GB,61323,16
"ORCL-CHICAGO1 - Oracle Corporation",US,63295,16
"NETWORK-TRANSIT Network-Transit",CN,64021,16
TELENET-AS,BE,6848,16
"SONATEL-AS Autonomous System",EU,8346,16
"ASN852 - TELUS Communications Inc.",CA,852,16
"BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone",IL,8551,16
"NEXT-BD Next Online Limited.",BD,9441,16
"SOIPL-IN Shree Omkar Infocom Pvt Ltd",IN,132137,15
"ELXER-AS-IN Elxer Communications Private Limited",IN,133255,15
"TELE-AS Tele Asia Limited",HK,133398,15
"CT-FOSHAN-IDC CHINANET Guangdong province network",CN,134764,15
"IDNIC-KOMINFOTANGSEL-AS-ID DISKOMINFO TANGERANG SELATAN",ID,137342,15
RMI-FITECH,FR,16347,15
"TRUE-AS-AP True Internet Co.,Ltd.",TH,17552,15
"CNCGROUP-GZ China Unicom Guangzhou network",CN,17622,15
"SOLUSINET-AS-ID PT iForte Global Internet",ID,17995,15
"UOL DIVEO S.A.",BR,19089,15
FAST-TELCO,KW,21050,15
"Núcleo S.A.",PY,27895,15
"ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP",BR,28260,15
"SMART TELECOMUNICAÇÕES E SERVIÇOS EIRELLI EPP",BR,28310,15
"SEEDNET Digital United Inc.",TW,4780,15
"ANCHNET Shanghai Anchang Network Security Technology Co.,Ltd.",CN,58879,15
"Telmex Chile Internet S.A.",CL,6429,15
"LEIVO IP service provider",RU,6820,15
"MOBINET-AS-MN Mobinet LLC. AS Mobinet Internet Service Provider",MN,9484,15
"EASPNET-AS-AP EASPNET Inc.",TW,10135,14
"PROMPTIC-AS Prompt Infracom Private Limited",IN,136366,14
"CANL CANL",NC,17480,14
"QTLTELECOM-AS-AP Quadrant Televentures Limited",IN,17917,14
"YOU-INDIA-AP YOU Broadband & Cable India Ltd.",IN,18207,14
PL-SKYTECH-AS,PL,201814,14
TDA-AS,DZ,21391,14
"MAINLAB-AS Autonomous System formerly Mainlab GmbH, Germany",DE,21501,14
"CCNEP-AS-NP Communications & Communicate Nepal Pvt Ltd",NP,23647,14
"NETNAM-AS-AP Netnam Company",VN,24173,14
"INFOSPHERE NTT PC Communications, Inc.",JP,2514,14
"BIGLOBE BIGLOBE Inc.",JP,2518,14
"FLASH NET TELECOMUNICACOES LTDA - ME",BR,265377,14
AS267251,BR,267251,14
"ALTICE DOMINICANA S.A.",DO,28118,14
ASP-AS,BG,35480,14
NGI-AS,IT,35612,14
"MULTA-ASN1 - MULTACOM CORPORATION",US,35916,14
Spectranet,NG,37340,14
"GTELMOBILE-AS-VN Gtel Mobile Joint Stock Company",VN,45546,14
DOTSI,PT,49349,14
"ARSAT - Empresa Argentina de Soluciones Satelitales S.A.",AR,52361,14
"PEGTECHINC - PEG TECH INC",US,54600,14
"TOMATOWEB-BD Tomato Web (Pvt) Limited",BD,56264,14
"CDSC-AS1 - Capitalonline Data Service Co.,LTD",US,63199,14
"MYREPUBLIC-AS-ID PT. Eka Mas Republik",ID,63859,14
"COMSATS Commission on Science and Technology for",PK,7590,14
"SANDY Nizhny Novgorod, Russia",RU,8580,14
"ATHENANET Academic and Research Network in the Region",GR,8643,14
"EASTLINK-HSI - EastLink",CA,11260,13
"ASBRUTELE VOO",BE,12392,13
"SHREEBALAJI-AS-IN SHREE BALAJI INFOWAY PRIVATE LIMITED",IN,135744,13
"EHOST-AS-VN Ehost software company limited",VN,135920,13
"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia",ID,136052,13
"BALTNETA Customers AS",LT,15440,13
"NETMAGIC-AP Netmagic Datacenter Mumbai",IN,17439,13
"NWT-AS-AP AS number for New World Telephone Ltd.",HK,17444,13
"CONVERGE-AS Converge ICT Solutions Inc.",PH,17639,13
ASN-CATCHCOM,NO,2116,13
"Sercomtel Participações S.A.",BR,22689,13
"MORATELINDONAP-AS-ID PT.Mora Telematika Indonesia",ID,23947,13
GHANATEL-AS,GH,29614,13
ASN-GAMMATELECOM,GB,31655,13
"LEVEL3 - Level 3 Communications, Inc.",US,3356,13
KTC-AS,KZ,35104,13
ZAMREN,ZM,37532,13
"SIPL-AS Syscon Infoway Pvt. Ltd.",IN,45194,13
FNE-AS,FI,47605,13
ACVYSKOV-AS,CZ,48364,13
AS57858,EU,57858,13
NOWATEL-AS,PL,60191,13
"BELPAK-AS BELPAK",BY,6697,13
KAZTELECOM-AS,KZ,9198,13
"MULTIMEDIA-AS-AP Hoshin Multimedia Center Inc.",TW,9416,13
"TELECOM-LA-AS-AP Lao Telecom Communication, LTC",LA,9873,13
"NCIC-TW New Century InfoComm Tech Co., Ltd.",TW,9919,13
"HCNKUMHO-AS-KR Kumho Cable",KR,10175,12
CPS,AR,11014,12
"MIDCO-NET - Midcontinent Communications",US,11232,12
"ENFORTA-AS Enforta Autonomous System",RU,12772,12
"POWERLINE-AS-AP POWER LINE (HK) CO., LIMITED",HK,132839,12
"GMO-Z-COM-TH GMO-Z com NetDesign Holdings Co., Ltd.",SG,135161,12
"SMARTNET16-AS SMART NET INDIA PVT LTD",IN,135225,12
AS15704,ES,15704,12
CAMNET-AS,CM,15964,12
"MAGTICOMAS Caucasus-Online",GE,16010,12
DNA,FI,16086,12
"TMVADS-AP TM-VADS DC Hosting",MY,17971,12
"WORLDPHONE-IN AS Number for Interdomain Routing",IN,18002,12
"IFX18747 - IFX Corporation",US,18747,12
"AMERICATEL PERU S.A.",PE,19180,12
AVAST-AS-DC,CZ,198605,12
AWASR,OM,204170,12
LAYER6,UA,204957,12
NETPLAZA-AS,FI,20904,12
AS209160,BG,209160,12
"NPTELECOM-NP-AS Nepal Telecommunications Corporation, Internet Services",NP,23752,12
AS268585,BR,268585,12
"LGTEL61 INTERNET LTDA - ME",BR,28305,12
"TPA TELECOMUNICACOES LTDA",BR,28343,12
"AFRICAONLINE-UG Africa Online Uganda",UG,29039,12
ORANGE-COTE-IVOIRE,CI,29571,12
"FSNET-1 - Fast Serv Networks, LLC",US,29889,12
"MIT-GATEWAYS - Massachusetts Institute of Technology",US,3,12
"TNNET-AS TNNet Oy Main network",FI,30798,12
"DIG001 - Digicel Jamaica",JM,33576,12
MEGALAN,BG,35141,12
"HNS-AS-AP Honesty Net Solution (I) Pvt Ltd",IN,38457,12
"USONYX-AS-AP USONYX PTE LTD",SG,38532,12
FASTWEB-RO-AS,RO,38935,12
FULLSAVE-AS,FR,39405,12
EVOLGOGRAD-AS,RU,39435,12
ERTH-KAZAN-AS,RU,41668,12
BELCLOUD,BG,44901,12
"CITYBROADBAND-AS-MY SHTECH, Cyberjaya Broadband Service",MY,45410,12
"ODS-AS-VN Online data services",VN,45538,12
OLLI-AS,UA,49019,12
BARNAUL-AS,RU,50512,12
"CHINATELECOM-HUNAN-XIANGTAN-MAN Xiangtan",CN,58541,12
"DRAGONHISPEED-AS-AP dragonhispeed",TH,63940,12
"CYTA-NETWORK Internet Services",CY,6866,12
"CSTNET-AS-AP Computer Network Information Center",CN,7497,12
"COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands",NL,8283,12
TELEKOM-AS,RS,8400,12
SPECTRUMNET,BG,8717,12
"SEJONGTELECOM-AS-KR Sejong Telecom",KR,9848,12
DINET-AS,RU,12695,11
"NHANHOA-AS-VN NhanHoa Software company",VN,131353,11
TRIOLAN,UA,13188,11
"GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.",PH,132199,11
"TTK-RTL Retail",RU,15774,11
"CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT",CN,17638,11
"CITYNET-AP PT Indopratama Teleglobal (ISP)Wisma BSG Floor 6",ID,17769,11
"DIALOG-AS Dialog Axiata PLC.",LK,18001,11
F3NETZE,DE,205100,11
AS210083,SE,210083,11
"CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited",CN,24547,11
"DREAMHOST-AS - New Dream Network, LLC",US,26347,11
"KONECTIVA TELECOMUNICAÇÕES LTDA-ME",BR,264948,11
"S. C. SERVICOS E REDES LTDA - ME",BR,266348,11
AS268194,BR,268194,11
"PAULO HENRIQUE SOARES DE SOUZA",BR,269306,11
"Companhia Itabirana Telecomunicações Ltda",BR,28201,11
"America-NET Ltda.",BR,28669,11
"TDCSONG Tele2 Business (TDC Sweden)",SE,3246,11
SIBSET-NSK-AS,RU,34757,11
"MOBILY-AS Etihad Etisalat Company (Mobily)",SA,35819,11
Telkom-Internet,ZA,37457,11
CYBERDYNE,LR,37560,11
TOPNET,TN,37705,11
"TWA-AS-AP Transworld Associates (Pvt.) Ltd.",PK,38193,11
"ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Online Ltd. Internet Service Provider, Dhaka",BD,38493,11
DK-ESS-AS,DK,39642,11
BSTV-AS,RU,42145,11
"GCC-MPLS-PEERING GCC MPLS peering",QA,42298,11
"DE-FIRSTCOLO www.first-colo.net",DE,44066,11
"CNNIC-ZSPNET-AP BEIJING ZHONGGUANCUN SOFTWARE PARK DEVELOPMENT CO.,Ltd.",CN,45064,11
"VOL-AS-AP VOL Broadband",IN,45694,11
"NETSEC-HK NETSEC NOC",HK,45753,11
"IDCF IDC Frontier Inc.",JP,4694,11
LAZER,PT,47202,11
"GLOBE-TELECOM-AS Globe Telecoms",PH,4775,11
NETCOM-R-AS,RU,49531,11
NET-CITY-AS,UA,50633,11
"LANKA-COM Lanka Communication Services",LK,5087,11
"JLM-AS-ID PT Jala Lintas Media",ID,55685,11
FARASOSAMANEHPASARGAD,IR,57497,11
"AZDIGI-AS-VN AZDIGI Corporation",VN,63760,11
"MNL-AS-AP Mazeda Networks Limited",BD,63996,11
"OTENET-GR Athens - Greece",GR,6799,11
"HOSTUS-GLOBAL-AS HostUS",HK,7489,11
"TELEKOM-AT A1 Telekom Austria AG",AT,8447,11
"KPIN-AS-KR INet Technologies Co., Ltd.",KR,9712,11
"TFN-TW Taiwan Fixed Network, Telco and Network Service Provider.",TW,9924,11
"AS-VOBIZ - vanoppen.biz LLC",US,11404,10
"VONLINE-AS-VN Viet Online trading service corporation",VN,131367,10
"ASTRAZ-AP AstraZeneca UK Limited",BD,132290,10
"GIGSGIGS-AS GigsGigs Cloud Ltd",HK,134520,10
"WESTCLOUDDATA Ningxia West Cloud Data Technology Co.Ltd.",CN,135629,10
"CHINATELECOM-YUNNAN-DIQING-MAN Diqing",CN,136188,10
"GROOVY-AS-ID PT Media Andalan Nusa",ID,138841,10
"KLGELECS-AS 38, Teatralnaya st.",RU,15468,10
VODAFONE-IRELAND-ASN,IE,15502,10
NAZWA,PL,15967,10
"SBIS-AMRLTX - AT&T Corp.",US,16959,10
AZFIBERNET-ASN,AZ,203971,10
"SERVERCENTRAL - Server Central Network",US,23352,10
"ORTELNET-AS M/s Ortel Communications Ltd",IN,23772,10
"WASUHZ Huashu media&Network Limited",CN,24139,10
"INTERNET-CZ Ktis 2, 384 03 Ktis",CZ,24806,10
"Gustavo Zanatta e Cia Ltda",BR,262417,10
"Ciotec TELECOM LTDA ME",BR,265382,10
"LEONARDO PEREIRA COSTA",BR,266126,10
AS267410,BR,267410,10
"SPIRITTEL-AS - Spirit Telecom",US,2711,10
"E-life Paraguay S.A.",PY,27669,10
CO.PA.CO.,PY,27866,10
"IELO IELO Main Network",FR,29075,10
ISPSYSTEM-AS,RU,29182,10
MT-MPLS,MA,36903,10
MAINONE,NG,37282,10
"VIETTELCAMBODIA-AS-AP ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.",KH,38623,10
LANETUA-AS,UA,39608,10
"XTELESIS-ASN - Xtelesis Corporation",US,396308,10
ERTH-YOLA-AS,RU,41786,10
MTC-KSA-AS,SA,43766,10
"IDNIC-KKI-AS-ID Kantor Komunikasi Dan Informatika Kota Bogor",ID,45316,10
THORDC-AS,IS,50613,10
ASINTEGSETISVYAZI,RU,57587,10
"ASDETUK http://www.heficed.com",GB,61317,10
"FSF TECNOLOGIA LTDA ME",BR,61568,10
"SSDTL-BD Systems Solutions & development Technologies Limited",BD,63526,10
"TISP-AS TISP LIMITED",HK,63888,10
"STRATO STRATO AG",DE,6724,10
"HCNGYEONGBUK-AS-KR Gyeongbuk Cable TV",KR,7623,10
"SOLNET-ID PT SOLNET INDONESIA",ID,9422,10
"VOLZ Scientific -Industrial Firm ""Volz"" Ltd",UA,12963,9
"BLUELOTUS-AS Blue Lotus Support Services Pvt Ltd",IN,132556,9
"OBEC-AS-AP Office of the basic education commission",TH,133042,9
"VNDATA-AS-VN Viet Storage Technology Joint Stock Company",VN,135932,9
"IDNIC-POLTEKKESYK-AS-ID POLTEKKES KEMENKES YOGYAKARTA",ID,137301,9
AS139811,Unknown,139811,9
AS139884,Unknown,139884,9
"LCPR-HSD - Liberty Cablevision of Puerto Rico LTD",US,14638,9
"UCOM UCOM Corp.",JP,17506,9
"DREAMPLUS-AS-KR CJ Hello Co., Ltd.",KR,17839,9
"JKTXLNET-AS-AP PT Excelcomindo Pratama",ID,17885,9
"CTRLS-AS-IN CtrlS Datacenters Ltd.",IN,18229,9
"Operbes, S.A. de C.V.",MX,18734,9
"COLOUP - ColoUp",US,19084,9
"SUDDENLINK-COMMUNICATIONS - Suddenlink Communications",US,19108,9
"ACTIVE-SERVERS active-servers.com",DE,197071,9
ASCLOUDATA,MD,200019,9
AS202242,IT,202242,9
"ZSTTKAS Novosibirsk, Russia",RU,21127,9
"Century Telecom Ltda",BR,21574,9
"IPVG-AS-AP IP-Converge Data Center, Inc.",PH,23930,9
"RAILTEL-AS-IN RailTel Corporation of India Ltd., Internet Service Provider, New Delhi",IN,24186,9
"CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University",CN,24349,9
ASN-VNTP,UA,24945,9
"KDDI KDDI CORPORATION",JP,2516,9
"MEGA TELEINFORMATICA EIRELLI",BR,265269,9
"AAPT AAPT Limited",AU,2764,9
KOMRO-AS,DE,29413,9
ERTELECOM-DC-AS,RU,31483,9
TOMTEL,RU,34145,9
SRR,RU,34559,9
SKATTV-AS,BG,34577,9
OBO,BW,36963,9
Reunicable,RE,37002,9
TERNET,TZ,37182,9
Aljeel-net,LY,37284,9
WIPRONET,ZA,37596,9
ERTH-OREN-AS,RU,42683,9
VELCOM-AS,BY,42772,9
"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",GB,42831,9
ASIATECH,IR,43754,9
"UNINET-AS-AP UNINET-",TH,4621,9
"ELIMNET-AS ELIMNET, INC",KR,4663,9
MTW-AS,RU,48347,9
"VIANET - ViaNetTV Inc",CA,54198,9
"SERVER-MANIA - B2 Net Solutions Inc.",CA,55286,9
"SUNINFO-MDC Beijing Sun Rise Technology CO.,LTD",CN,55461,9
"DRIK-BD House 58, Road 15A (New)",BD,55828,9
"SREERAM-NED1-IN Northeast Dataa Network Pvt Ltd",IN,56268,9
SAIX-NET,ZA,5713,9
"FIBERNET-AS-ID PT. Fiber Networks Indonesia",ID,58369,9
"RCN-AS - RCN",US,6079,9
"HURRICANE - Hurricane Electric LLC",US,6939,9
"RINET-AS Cronyx Plus Ltd",RU,8331,9
"ASN-SFR For peering, please mail peering@altitudetelecom.fr",FR,9003,9
ES-IBERCOMTELECOM-BACKBONE,ES,12321,8
"TBCOM-NET TBC",TW,131596,8
"TAIFUCLOUD-AS-TW Tai-Fu Cloud Co., Ltd.",TW,131628,8
"GAZON-AS-IN Gazon Communications India Limited",IN,132770,8
"CHINATELECOM-SHAANXI-XIXIAN-SMARTCLOUD-IDC SHAANXI province",CN,134418,8
"NEWMOUNTAINVIEW-PH NewMountainView Satellite Corporation",PH,135345,8
"XIAOZHIYUN-AS ICIDC NETWORK",US,136800,8
AS139190,SG,139190,8
"SKG_NW-AS-KR SK Telecom",KR,18302,8
ASKRENA,KG,197119,8
WAVECON-AS,IT,198090,8
TTNET-AS,RU,199782,8
TRADERSOFT,RU,201848,8
"WIGO S.A.",PE,22411,8
"COMCEL GUATEMALA S.A.",GT,23243,8
"JNNET TELECOMUNICACOES EIRELI - EPP",BR,262497,8
"DataSafeIT Soluções em Tecnologia",BR,262537,8
"Link Sete Servicos de Internet e Redes Ltda",BR,262566,8
"Clicfacil Computadores, Serviços e Telecomunicaçõe",BR,263650,8
"GIGAS HOSTING",CL,263700,8
"NETCON COMERCIO DE PRODUTOS PARA INFORMATICA LTDA",BR,265320,8
"EDRIANA AUGUSTA MENDONCA DE OLIVEIRA EIRELI - ME",BR,265935,8
"BRUNO GRANADIER ESCORSIN",BR,265949,8
"MARIA DO CARMO DOS SANTOS CARUARU ME",BR,267506,8
"MEDIA COMMERCE MEDCOMM S.A",EC,269805,8
"Silva e Silveira Provedor de Internet SC Ltda",BR,28668,8
"ISKRATELECOM-AS SEVEN-SKY",RU,29124,8
"UNET Unet Network, The Netherlands",NL,29396,8
EIDSIVA-ASN,NO,29492,8
FREENET-AS,UA,31148,8
"DATACITY - KW Datacenter",CA,31798,8
"TELEMACH Broadband Access & Carrier Services",SI,3212,8
"T-2-AS AS set propagated by T-2, d.o.o.",SI,34779,8
PROCONO-AS,ES,34977,8
"BNQ-1 - Telebec",CA,35911,8
GLOBALNET-AS,TN,37671,8
"HELLONET-AS-KR CJ Hello Co., Ltd.",KR,38091,8
"WATEEN-IMS-PK-AS-AP National WiMAX/IMS environment",PK,38264,8
PL-IWACOM-AS,PL,41508,8
ERTH-KIROV-AS,RU,41727,8
KVANT-TELECOM,RU,43727,8
"AIMS-MY-NET AIMS Data Centre Sdn Bhd",MY,45668,8
"JDN-AS-ID Jogja Digital, PT",ID,45699,8
"Noroestecom Telecomunicacoes Ltda",BR,52579,8
"NORTE TELECOMUNICAÇÕES SERVIÇOS DE INTERNET LTDA",BR,52657,8
"INB Telecom EIRELI - ME",BR,53184,8
"24SHELLS - 24 SHELLS",US,55081,8
"ONE-NET-HK INTERNET-SOLUTION-",HK,56082,8
ROSTOV-AS,RU,57378,8
"CHINATELECOM-GUANGDONG-IDC Guangdong",CN,58543,8
"BALAJIS-AS-IN Balaji Services",IN,58763,8
"ABSPL-AS-IN ANJANI BROADBAND SOLUTIONS PVT.LTD.",IN,58965,8
PRESNYA,RU,60642,8
"PRIMUS-AS6407 - Primus Telecommunications Canada Inc.",CA,6407,8
AS64496,Unknown,64496,8
TENET-AS,UA,6876,8
"SPT-AS-VN Saigon Postel Corporation",VN,7602,8
CEGETEL-AS,FR,8228,8
"LES Public Data Network of Lipetsk region",RU,8570,8
WESTCALL-AS,RU,8595,8
"VODAFONE-TRANSIT-AS Vodafone NZ Ltd.",NZ,9500,8
"CNNIC-CN-COLNET Oriental Cable Network Co., Ltd.",CN,9812,8
"Net Uno, C.A.",VE,11562,7
"SCRR-12271 - Time Warner Cable Internet LLC",US,12271,7
"IDNIC-AXARVA-AS-ID PT Axarva Media Teknologi",ID,131755,7
"THREESAINFOWAY-AS Threesa Infoway Pvt.Ltd.",IN,132996,7
"VIETTELTIMORLESTE-AS-AP Viettel Timor Leste",TL,133606,7
"WORLD-AS World Star Communication",IN,134316,7
"UNICOM-GUIAN China Unicom IP network",CN,134542,7
"CHINANET-GUANGDONG-DONGGUAN-MAN CHINANET Guangdong province Dongguan MAN network",CN,134772,7
"SAINETSO-AS-IN Sai Net Solutions",IN,135219,7
"SIMINFO-AS Simsys Infotech Pvt. Ltd.",IN,135797,7
"MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited",MM,136480,7
"IDNIC-UPGRIS-AS-ID Universitas PGRI Semarang",ID,136827,7
"MEGARAP-AS-ID PT. Megarap Mitra Solusi",ID,138112,7
"TISM Telecom Italia San Marino.",SM,15433,7
"SWAN Bratislava, Slovakia",SK,16160,7
"PRIMETEL Telecommunications Company",CY,16229,7
"ETFIBER-AS Broadhand IP Network based DWDM",CN,17490,7
"BTTB-AS-AP Telecom Operator & Internet Service Provider as well",BD,17494,7
"ABN-AS-KR ABN",KR,17608,7
"MTNL-AP Mahanagar Telephone Nigam Limited",IN,17813,7
"DTPNET-AS-AP DTPNET NAP",ID,18059,7
Manquehuenet,CL,18822,7
"ENZUINC-US - Enzu Inc",US,18978,7
ASLINKTELECOMNN,RU,197275,7
"QTS-SUW1-ATL1 - Quality Technology Services, LLC.",US,20141,7
VTEL-NSK-AS,RU,204833,7
IOMART-AS,GB,20860,7
TEL-AS,RU,21483,7
"ZSCALER-SJC1 - ZSCALER, INC.",US,22616,7
"PUNTONET S.A.",EC,22724,7
MauritiusTelecom,MU,23889,7
EXPONENTIAL-E-AS,GB,25180,7
"ASN-AVANTEL-MSK Located in Moscow, Russia.",RU,25227,7
"STARNET TELECOMUNICACOES LTDA",BR,262838,7
"CR Net Telecomunicações Ltda-Me",BR,263879,7
"INTERLIGA SOLUCOES TECNOLOGICAS LTDA - ME",BR,266449,7
"CONEXAO VIP TELECOM",BR,266624,7
"edmundo antonio borba da silveira-me",BR,267180,7
AS268281,BR,268281,7
AS268504,BR,268504,7
"Wiltel Comunicaciones SA",AR,27792,7
"Colombia Móvil",CO,27831,7
AS28303,Unknown,28303,7
"INFOBOX-AS Infobox.ru Autonomous System",RU,30968,7
NTK,RU,31200,7
"SINGLEHOP-LLC - SingleHop, Inc.",US,32475,7
KNUST-,GH,327947,7
VEONE,CI,328025,7
AS328453,ZA,328453,7
"HSSCOREBGP01 - Haemonetics",CA,32856,7
"HOL-GR Athens, Greece",GR,3329,7
IHOR-AS,RU,35196,7
Safaricom,KE,37061,7
"LINTASARTA-AS-ID PT Aplikanusa Lintasarta",ID,38513,7
"TELNET-AS-BD-AP Telnet Communication Limited",BD,38712,7
"UIH-BBB-AS-AP UIH / BB Broadband",TH,38794,7
"START-CA - Start Communications",CA,40788,7
MTS-BB-OMSK,UA,41771,7
ICSERV-AS,UA,41820,7
DELUNET,DE,42652,7
ANTENNA-GARANT-AS,RU,44895,7
OLAH,HU,44945,7
"NITC-AS-AP NITC: IT Agency of Government of Nepal",NP,45353,7
"BELLTELE-AS-IN Bell Teleservices India Pvt Ltd., ISP having own OFC network in Bangalore, India.",IN,45648,7
"DERYTELECOM - Dery Telecom Inc.",CA,46618,7
K-SERVICEAS,RU,48188,7
"TASCOM TELECOMUNICAÇÕES LTDA",BR,52871,7
"ALGAR TELECOM S/A",BR,53006,7
"Net Onze Provedor de Acesso a Internet Ltda",BR,53240,7
"Internet Service Provider",BH,5416,7
"RKINFRATEL-IN R. K. INFRATEL LIMITED",IN,56209,7
PROJECTPOL-AS,PL,57480,7
"INTECHONLINE-IN Intech Online Private Limited",IN,58678,7
KR-KRASNODAR,RU,60490,7
DIANET-NET,UA,60754,7
FLEXISCALE-AS,GB,61226,7
"MDANET SERVICOS DE COMUNICACAO E INFORMATICA LTDA",BR,61792,7
AS6855,SK,6855,7
"GCI - GENERAL COMMUNICATION, INC.",US,8047,7
AS8376,JO,8376,7
"COMCOR-AS Moscow",RU,8732,7
"MULTINET-AS-AP Multinet Pakistan Pvt. Ltd.",PK,9260,7
"CHINA-ABITCOOL Abitcool(China) Inc.",CN,9308,7
"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited.",TH,9891,7
"HKCABLE2-HK-AP HK Cable TV Ltd",HK,9908,7
"UNICOM-GLOBAL China Unicom Global",HK,10099,6
"LVLT-10753 - Level 3 Parent, LLC",US,10753,6
"OCEANIC-INTERNET-RR - Oceanic Internet",US,10838,6
"ATLANTICBB-JOHNSTOWN - Atlantic Broadband Finance, LLC",US,11776,6
Vox-Telecom,ZA,11845,6
"IO-DATA-CENTERS - IO Capital Princess, LLC",US,12025,6
"UWATERLOO - University of Waterloo",CA,12093,6
"ARMENTEL Republic of Armenia",AM,12297,6
"VODAFONE_RO Charles de Gaulle nr.15",RO,12302,6
"VIPNET-AS 3G/GSM and Internet Service Provider",HR,12810,6
LEON-AS,PL,13000,6
"SINET-KH SINET, Cambodia's specialist Internet and Telecom Service Provider.",KH,131207,6
